Time,Price,%,SD
27/02 09:25,"1,515.60",0.45,10.51
Call,,Put
4868,1470,722
3927,1480,918
3086,1490,1150
2382,1500,1443
1763,1510,1828
1241,1520,2323
838,1530,2850
520,1540,3471
310,1550,4054
181,1560,5017
Time,Price,%,SD
27/02 09:30,"1,515.60",0.45,10.51
Call,,Put
4868,1470,722
3927,1480,918
3086,1490,1150
2382,1500,1443
1763,1510,1828
1241,1520,2323
838,1530,2850
520,1540,3471
310,1550,4054
181,1560,5017
Time,Price,%,SD
27/02 09:35,"1,510.05",0.09,10.51
Call,,Put
4868,1470,722
3927,1480,850
3330,1490,1030
2580,1500,1443
2020,1510,1550
1350,1520,2323
910,1530,2850
520,1540,3471
380,1550,4054
181,1560,5017
Time,Price,%,SD
27/02 09:40,"1,511.61",0.19,10.51
Call,,Put
4868,1470,680
4060,1480,850
3330,1490,1050
2560,1500,1340
1910,1510,1700
1360,1520,2150
920,1530,2680
580,1540,3471
350,1550,4054
200,1560,5017
Time,Price,%,SD
27/02 09:45,"1,512.92",0.28,10.51
Call,,Put
4960,1470,640
4150,1480,820
3400,1490,1040
2670,1500,1310
2010,1510,1660
1430,1520,2060
970,1530,2600
620,1540,3310
380,1550,3980
210,1560,5017
Time,Price,%,SD
27/02 09:50,"1,512.92",0.28,10.51
Call,,Put
4960,1470,640
4150,1480,820
3400,1490,1040
2670,1500,1310
2010,1510,1660
1430,1520,2060
970,1530,2600
620,1540,3310
380,1550,3980
210,1560,5017
Time,Price,%,SD
27/02 09:55,"1,512.92",0.28,10.51
Call,,Put
4960,1470,640
4150,1480,820
3400,1490,1040
2670,1500,1310
2010,1510,1660
1430,1520,2060
970,1530,2600
620,1540,3310
380,1550,3980
210,1560,5017
Time,Price,%,SD
27/02 10:00,"1,512.92",0.28,10.51
Call,,Put
4960,1470,640
4150,1480,820
3400,1490,1040
2670,1500,1310
2010,1510,1660
1430,1520,2060
970,1530,2600
620,1540,3310
380,1550,3980
210,1560,5017
Time,Price,%,SD
27/02 10:05,"1,512.69",0.26,10.51
Call,,Put
4960,1470,640
4150,1480,820
3400,1490,1040
2670,1500,1310
2010,1510,1660
1430,1520,2060
970,1530,2600
620,1540,3310
380,1550,3980
210,1560,5017
Time,Price,%,SD
27/02 10:10,"1,511.76",0.20,10.51
Call,,Put
4950,1470,660
4140,1480,840
3350,1490,1050
2610,1500,1330
1960,1510,1680
1400,1520,2120
950,1530,2670
610,1540,3330
370,1550,4040
200,1560,4930
Time,Price,%,SD
27/02 10:15,"1,511.51",0.18,10.51
Call,,Put
4910,1470,680
4080,1480,850
3300,1490,1070
2580,1500,1360
1930,1510,1700
1380,1520,2150
940,1530,2710
590,1540,3360
360,1550,4070
200,1560,4970
Time,Price,%,SD
27/02 10:20,"1,511.51",0.18,10.51
Call,,Put
4910,1470,680
4090,1480,870
3250,1490,1090
2560,1500,1350
1900,1510,1740
1350,1520,2190
910,1530,2730
580,1540,3410
350,1550,4120
200,1560,4970
Time,Price,%,SD
27/02 10:25,"1,511.58",0.19,10.51
Call,,Put
4910,1470,690
4050,1480,870
3270,1490,1080
2560,1500,1360
1920,1510,1720
1370,1520,2170
930,1530,2740
600,1540,3400
360,1550,4120
210,1560,5020
Time,Price,%,SD
27/02 10:30,"1,512.35",0.24,10.51
Call,,Put
4910,1470,690
4070,1480,860
3290,1490,1080
2570,1500,1360
1920,1510,1710
1370,1520,2150
940,1530,2730
600,1540,3370
370,1550,4140
210,1560,5000
Time,Price,%,SD
27/02 10:35,"1,512.35",0.24,10.51
Call,,Put
4900,1470,690
4070,1480,850
3290,1490,1070
2570,1500,1350
1920,1510,1700
1370,1520,2160
940,1530,2720
600,1540,3360
360,1550,4150
210,1560,4980
Time,Price,%,SD
27/02 10:40,"1,511.74",0.20,10.51
Call,,Put
4900,1470,690
4060,1480,860
3280,1490,1090
2550,1500,1370
1910,1510,1720
1370,1520,2170
930,1530,2730
600,1540,3400
370,1550,4180
210,1560,5000
Time,Price,%,SD
27/02 10:45,"1,511.74",0.20,10.51
Call,,Put
4900,1470,690
4060,1480,870
3290,1490,1090
2550,1500,1380
1920,1510,1740
1370,1520,2190
930,1530,2760
600,1540,3410
370,1550,4180
210,1560,5020
Time,Price,%,SD
27/02 10:50,"1,511.92",0.21,10.51
Call,,Put
4900,1470,700
4060,1480,870
3270,1490,1090
2550,1500,1380
1930,1510,1740
1380,1520,2190
940,1530,2750
610,1540,3390
370,1550,4180
220,1560,5020
Time,Price,%,SD
27/02 10:55,"1,512.34",0.24,10.51
Call,,Put
4900,1470,700
4060,1480,880
3280,1490,1100
2580,1500,1380
1930,1510,1740
1390,1520,2190
950,1530,2740
610,1540,3420
370,1550,4190
220,1560,5020
Time,Price,%,SD
27/02 11:00,"1,512.23",0.23,10.51
Call,,Put
4900,1470,700
4060,1480,880
3270,1490,1100
2580,1500,1380
1940,1510,1720
1380,1520,2170
940,1530,2750
610,1540,3410
380,1550,4170
220,1560,5020
Time,Price,%,SD
27/02 11:05,"1,512.23",0.23,10.51
Call,,Put
4910,1470,700
4070,1480,870
3270,1490,1090
2590,1500,1370
1940,1510,1740
1390,1520,2180
950,1530,2740
620,1540,3410
390,1550,4160
220,1560,5020
Time,Price,%,SD
27/02 11:10,"1,510.48",0.11,10.51
Call,,Put
4910,1470,700
4090,1480,880
3270,1490,1090
2580,1500,1380
1930,1510,1740
1390,1520,2190
960,1530,2750
620,1540,3420
390,1550,4160
230,1560,5020
Time,Price,%,SD
27/02 11:16,"1,509.35",0.04,10.51
Call,,Put
5760,1460,570
4910,1470,700
4090,1480,880
3270,1490,1090
2580,1500,1380
1930,1510,1740
1390,1520,2190
960,1530,2750
620,1540,3420
390,1550,4160
Time,Price,%,SD
27/02 11:20,"1,509.01",0.02,10.51
Call,,Put
5640,1460,590
4770,1470,730
3980,1480,910
3180,1490,1150
2490,1500,1450
1870,1510,1820
1330,1520,2290
910,1530,2850
590,1540,3540
360,1550,4320
Time,Price,%,SD
27/02 11:25,"1,509.69",0.06,10.51
Call,,Put
5640,1460,590
4770,1470,730
3980,1480,910
3180,1490,1150
2490,1500,1450
1870,1510,1820
1330,1520,2290
910,1530,2850
590,1540,3540
360,1550,4320
Time,Price,%,SD
27/02 11:30,"1,509.79",0.07,10.51
Call,,Put
5630,1460,590
4800,1470,730
3960,1480,910
3210,1490,1140
2500,1500,1430
1870,1510,1800
1350,1520,2270
910,1530,2840
600,1540,3530
370,1550,4300
Time,Price,%,SD
27/02 11:35,"1,509.20",0.03,10.51
Call,,Put
5630,1460,580
4800,1470,720
3990,1480,900
3220,1490,1130
2500,1500,1420
1880,1510,1800
1340,1520,2270
920,1530,2830
600,1540,3510
370,1550,4300
Time,Price,%,SD
27/02 11:40,"1,509.20",0.03,10.51
Call,,Put
5630,1460,580
4800,1470,730
3960,1480,910
3190,1490,1140
2490,1500,1430
1860,1510,1810
1340,1520,2280
910,1530,2830
600,1540,3510
370,1550,4300
Time,Price,%,SD
27/02 11:46,"1,509.41",0.04,10.51
Call,,Put
5630,1460,590
4800,1470,730
3960,1480,910
3190,1490,1140
2480,1500,1430
1850,1510,1810
1320,1520,2280
900,1530,2850
580,1540,3540
360,1550,4320
Time,Price,%,SD
27/02 11:50,"1,509.41",0.04,10.51
Call,,Put
5630,1460,580
4800,1470,720
3960,1480,900
3190,1490,1130
2480,1500,1430
1860,1510,1780
1330,1520,2260
900,1530,2830
580,1540,3520
360,1550,4320
Time,Price,%,SD
27/02 11:55,"1,510.49",0.12,10.51
Call,,Put
4800,1470,710
3960,1480,900
3220,1490,1110
2510,1500,1390
1880,1510,1750
1360,1520,2220
920,1530,2830
590,1540,3460
360,1550,4240
210,1560,5070
Time,Price,%,SD
27/02 12:01,"1,510.30",0.10,10.51
Call,,Put
4800,1470,710
4020,1480,880
3220,1490,1100
2510,1500,1400
1880,1510,1760
1350,1520,2220
920,1530,2830
590,1540,3460
360,1550,4240
210,1560,5070
Time,Price,%,SD
27/02 12:05,"1,510.84",0.14,10.51
Call,,Put
4800,1470,710
4020,1480,880
3220,1490,1100
2510,1500,1400
1880,1510,1760
1350,1520,2220
920,1530,2830
590,1540,3460
360,1550,4240
210,1560,5070
Time,Price,%,SD
27/02 12:10,"1,511.06",0.15,10.51
Call,,Put
4800,1470,710
4020,1480,890
3220,1490,1110
2510,1500,1400
1880,1510,1770
1340,1520,2240
920,1530,2810
600,1540,3480
370,1550,4250
220,1560,5110
Time,Price,%,SD
27/02 12:15,"1,511.06",0.15,10.51
Call,,Put
4800,1470,710
4020,1480,890
3220,1490,1110
2510,1500,1400
1880,1510,1770
1350,1520,2230
920,1530,2810
600,1540,3490
370,1550,4250
220,1560,5110
Time,Price,%,SD
27/02 12:20,"1,510.77",0.13,10.51
Call,,Put
4800,1470,710
4000,1480,890
3220,1490,1110
2510,1500,1400
1880,1510,1770
1350,1520,2230
910,1530,2810
600,1540,3490
370,1550,4260
220,1560,5110
Time,Price,%,SD
27/02 12:25,"1,510.60",0.12,10.51
Call,,Put
4800,1470,710
4000,1480,890
3220,1490,1110
2510,1500,1400
1880,1510,1770
1350,1520,2230
910,1530,2810
600,1540,3490
370,1550,4260
220,1560,5110
Time,Price,%,SD
27/02 12:30,"1,510.68",0.13,10.51
Call,,Put
4800,1470,710
4000,1480,890
3210,1490,1120
2500,1500,1390
1880,1510,1780
1350,1520,2220
920,1530,2790
600,1540,3470
370,1550,4250
220,1560,5080
Time,Price,%,SD
27/02 12:35,"1,510.36",0.11,10.51
Call,,Put
4800,1470,710
4000,1480,890
3210,1490,1120
2500,1500,1390
1880,1510,1780
1350,1520,2220
920,1530,2790
600,1540,3470
370,1550,4250
220,1560,5080
Time,Price,%,SD
27/02 12:40,"1,510.36",0.11,10.51
Call,,Put
4800,1470,720
4000,1480,890
3210,1490,1120
2500,1500,1400
1870,1510,1780
1340,1520,2240
920,1530,2820
590,1540,3490
370,1550,4250
220,1560,5080
Time,Price,%,SD
27/02 12:45,"1,510.75",0.13,10.51
Call,,Put
4800,1470,720
4000,1480,890
3210,1490,1120
2500,1500,1400
1870,1510,1780
1340,1520,2240
920,1530,2820
590,1540,3490
370,1550,4250
220,1560,5080
Time,Price,%,SD
27/02 12:50,"1,511.15",0.16,10.51
Call,,Put
4890,1470,700
4070,1480,870
3260,1490,1090
2560,1500,1370
1930,1510,1720
1390,1520,2190
950,1530,2750
620,1540,3440
390,1550,4200
230,1560,5020
Time,Price,%,SD
27/02 12:55,"1,512.04",0.22,10.51
Call,,Put
4890,1470,680
4070,1480,850
3310,1490,1070
2620,1500,1350
1970,1510,1710
1420,1520,2150
980,1530,2710
640,1540,3390
410,1550,4140
240,1560,5020
Time,Price,%,SD
27/02 13:00,"1,512.23",0.23,10.51
Call,,Put
4890,1470,680
4070,1480,850
3310,1490,1070
2620,1500,1350
1970,1510,1710
1420,1520,2150
980,1530,2710
640,1540,3390
410,1550,4140
240,1560,5020
Time,Price,%,SD
27/02 13:05,"1,511.09",0.16,10.51
Call,,Put
4890,1470,680
4100,1480,850
3310,1490,1080
2590,1500,1350
1960,1510,1700
1410,1520,2170
970,1530,2710
640,1540,3390
410,1550,4160
250,1560,4990
Time,Price,%,SD
27/02 13:10,"1,510.66",0.13,10.51
Call,,Put
4900,1470,710
4000,1480,880
3280,1490,1120
2510,1500,1410
1900,1510,1770
1350,1520,2250
940,1530,2830
620,1540,3470
400,1550,4280
240,1560,4990
Time,Price,%,SD
27/02 13:15,"1,511.22",0.16,10.51
Call,,Put
4780,1470,720
3960,1480,900
3210,1490,1140
2470,1500,1420
1870,1510,1800
1350,1520,2260
930,1530,2840
610,1540,3530
390,1550,4330
240,1560,4990
Time,Price,%,SD
27/02 13:20,"1,511.22",0.16,10.51
Call,,Put
4720,1470,720
3930,1480,910
3140,1490,1150
2440,1500,1460
1810,1510,1820
1300,1520,2320
890,1530,2900
590,1540,3600
370,1550,4400
230,1560,4990
Time,Price,%,SD
27/02 13:25,"1,510.46",0.11,10.51
Call,,Put
4720,1470,720
3930,1480,910
3140,1490,1150
2440,1500,1460
1810,1510,1820
1300,1520,2320
890,1530,2900
590,1540,3600
370,1550,4400
230,1560,4990
Time,Price,%,SD
27/02 13:30,"1,510.76",0.13,10.51
Call,,Put
4720,1470,720
3900,1480,890
3140,1490,1110
2440,1500,1410
1850,1510,1790
1320,1520,2270
910,1530,2900
590,1540,3550
380,1550,4340
230,1560,4990
Time,Price,%,SD
27/02 13:35,"1,510.11",0.09,10.51
Call,,Put
4720,1470,720
3900,1480,890
3140,1490,1110
2440,1500,1410
1850,1510,1790
1320,1520,2270
910,1530,2900
590,1540,3550
380,1550,4340
230,1560,4990
Time,Price,%,SD
27/02 13:40,"1,510.31",0.10,10.51
Call,,Put
4720,1470,710
3900,1480,890
3190,1490,1120
2460,1500,1420
1840,1510,1770
1310,1520,2260
900,1530,2850
590,1540,3550
380,1550,4310
230,1560,4990
Time,Price,%,SD
27/02 13:45,"1,510.32",0.10,10.51
Call,,Put
4740,1470,710
3930,1480,890
3160,1490,1120
2460,1500,1410
1850,1510,1780
1320,1520,2270
900,1530,2850
600,1540,3540
380,1550,4320
230,1560,5180
Time,Price,%,SD
27/02 13:50,"1,510.02",0.08,10.51
Call,,Put
4740,1470,710
3940,1480,890
3160,1490,1110
2450,1500,1420
1840,1510,1800
1320,1520,2270
900,1530,2850
600,1540,3540
370,1550,4320
230,1560,5180
Time,Price,%,SD
27/02 13:55,"1,510.02",0.08,10.51
Call,,Put
4740,1470,710
3940,1480,900
3140,1490,1130
2450,1500,1430
1830,1510,1800
1310,1520,2270
900,1530,2850
590,1540,3540
370,1550,4320
230,1560,5180
Time,Price,%,SD
27/02 14:00,"1,510.02",0.08,10.51
Call,,Put
4740,1470,720
3940,1480,900
3140,1490,1130
2450,1500,1420
1850,1510,1800
1330,1520,2280
900,1530,2860
590,1540,3540
380,1550,4320
230,1560,5180
Time,Price,%,SD
27/02 14:05,"1,510.13",0.09,10.51
Call,,Put
4740,1470,710
3940,1480,890
3170,1490,1120
2480,1500,1410
1870,1510,1780
1320,1520,2270
910,1530,2860
590,1540,3530
